interference_regime,load_regime,compared_to,sit_cvar99,baseline_cvar99,cvar_improvement_pct,sit_effective_goodput_rps,baseline_effective_goodput_rps,goodput_improvement_pct,sit_catastrophes,baseline_catastrophes,fewer_catastrophes,sit_dominates
heavy_tail_burst,high,k8s-default,151734.57,155421.72,2.37,8009.53,7526.96,6.41,0,0,True,True
heavy_tail_burst,high,slurm-fcfs,151734.57,198522.27,23.57,8009.53,5423.43,47.68,0,0,True,True
heavy_tail_burst,high,triton-proxy,151734.57,165448.56,8.29,8009.53,4255.31,88.22,0,0,True,True
heavy_tail_burst,low,SIT-no-IRBS,94008.47,130628.52,28.03,8084.75,6389.19,26.54,0,0,True,True
heavy_tail_burst,low,SIT-no-safety,94008.47,110878.75,15.22,8084.75,8522.76,-5.14,0,0,True,False
heavy_tail_burst,low,SIT-no-admission,94008.47,84623.39,-11.09,8084.75,8527.3,-5.19,0,0,True,False
heavy_tail_burst,low,partition,94008.47,91261.58,-3.01,8084.75,4152.14,94.71,0,0,True,True
heavy_tail_burst,low,spread,94008.47,97800.82,3.88,8084.75,5069.15,59.49,0,0,True,True
heavy_tail_burst,low,random,94008.47,93132.54,-0.94,8084.75,5593.49,44.54,0,0,True,True
heavy_tail_burst,low,round-robin,94008.47,124382.78,24.42,8084.75,5551.79,45.62,0,0,True,True
heavy_tail_burst,low,binpack-greedy,94008.47,95076.1,1.12,8084.75,4410.79,83.29,0,0,True,True
heavy_tail_burst,low,tail-greedy,94008.47,106871.1,12.04,8084.75,8111.33,-0.33,0,0,True,False
heavy_tail_burst,low,similarity-avoidance,94008.47,89561.5,-4.97,8084.75,7064.4,14.44,0,0,True,True
heavy_tail_burst,low,admission-only,94008.47,136560.0,31.16,8084.75,5417.31,49.24,0,0,True,True
heavy_tail_burst,low,oracle,94008.47,93495.46,-0.55,8084.75,8122.57,-0.47,0,0,True,False
heavy_tail_burst,low,static-low,94008.47,94450.46,0.47,8084.75,5791.25,39.6,0,0,True,True
heavy_tail_burst,low,static-high,94008.47,133678.14,29.68,8084.75,6330.53,27.71,0,0,True,True
heavy_tail_burst,low,k8s-hpa,94008.47,98575.31,4.63,8084.75,7837.83,3.15,0,0,True,True
heavy_tail_burst,low,k8s-default,94008.47,92252.56,-1.9,8084.75,7642.17,5.79,0,0,True,True
heavy_tail_burst,low,slurm-fcfs,94008.47,107001.19,12.14,8084.75,5516.44,46.56,0,0,True,True
heavy_tail_burst,low,triton-proxy,94008.47,97515.73,3.6,8084.75,4271.91,89.25,0,0,True,True
heavy_tail_burst,medium,SIT-no-IRBS,162941.09,152047.2,-7.16,7954.88,6463.97,23.06,0,0,True,False
heavy_tail_burst,medium,SIT-no-safety,162941.09,140509.76,-15.96,7954.88,8467.94,-6.06,0,0,True,False
heavy_tail_burst,medium,SIT-no-admission,162941.09,155176.85,-5.0,7954.88,8337.07,-4.58,0,0,True,False
heavy_tail_burst,medium,partition,162941.09,116237.72,-40.18,7954.88,3948.3,101.48,0,0,True,False
heavy_tail_burst,medium,spread,162941.09,131437.64,-23.97,7954.88,4958.37,60.43,0,0,True,False
heavy_tail_burst,medium,random,162941.09,175722.7,7.27,7954.88,5471.95,45.38,0,0,True,True
heavy_tail_burst,medium,round-robin,162941.09,136363.63,-19.49,7954.88,5485.39,45.02,0,0,True,False
heavy_tail_burst,medium,binpack-greedy,162941.09,774143.78,78.95,7954.88,4338.44,83.36,0,0,True,True
heavy_tail_burst,medium,tail-greedy,162941.09,147910.44,-10.16,7954.88,8008.2,-0.67,0,0,True,False
heavy_tail_burst,medium,similarity-avoidance,162941.09,147466.39,-10.49,7954.88,6876.79,15.68,0,0,True,False
heavy_tail_burst,medium,admission-only,162941.09,148234.99,-9.92,7954.88,5458.26,45.74,0,0,True,False
heavy_tail_burst,medium,oracle,162941.09,117216.86,-39.01,7954.88,8164.43,-2.57,0,0,True,False
